 8.40000000e-02  2.08876032e+01  8.40000000e-02  3.56239149e-01 
 8.80000000e-02  2.07531693e+01  8.80000000e-02  3.71630039e-01 
 9.20000000e-02  2.06140083e+01  9.20000000e-02  3.86819278e-01 
 9.60000000e-02  2.04703014e+01  9.60000000e-02  4.01801432e-01 
 1.00000000e-01  2.03222325e+01  1.00000000e-01  4.16571469e-01 
 1.04000000e-01  2.01699880e+01  1.04000000e-01  4.31124764e-01 
 1.08000000e-01  2.00137556e+01  1.08000000e-01  4.45457094e-01 
 1.12000000e-01  1.98537246e+01  1.12000000e-01  4.59564638e-01 
 1.16000000e-01  1.96900850e+01  1.16000000e-01  4.73443972e-01 
 1.20000000e-01  1.95230270e+01  1.20000000e-01  4.87092066e-01 
 1.24000000e-01  1.93527407e+01  1.24000000e-01  5.00506275e-01 
 1.28000000e-01  1.91794157e+01  1.28000000e-01  5.13684334e-01 
 1.32000000e-01  1.90032407e+01  1.32000000e-01  5.26624348e-01 
 1.36000000e-01  1.88244027e+01  1.36000000e-01  5.39324786e-01 
 1.40000000e-01  1.86430873e+01  1.40000000e-01  5.51784468e-01 
 1.44000000e-01  1.84594779e+01  1.44000000e-01  5.64002557e-01 
 1.48000000e-01  1.82737555e+01  1.48000000e-01  5.75978544e-01 
 1.52000000e-01  1.80860984e+01  1.52000000e-01  5.87712242e-01 
 1.56000000e-01  1.78966819e+01  1.56000000e-01  5.99203767e-01 
 1.60000000e-01  1.77056782e+01  1.60000000e-01  6.10453532e-01 
 1.64000000e-01  1.75132557e+01  1.64000000e-01  6.21462227e-01 
 1.68000000e-01  1.73195794e+01  1.68000000e-01  6.32230815e-01 
 1.72000000e-01  1.71248104e+01  1.72000000e-01  6.42760508e-01 
 1.76000000e-01  1.69291057e+01  1.76000000e-01  6.53052761e-01 
 1.80000000e-01  1.67326180e+01  1.80000000e-01  6.63109258e-01 
 1.84000000e-01  1.65354958e+01  1.84000000e-01  6.72931893e-01 
 1.88000000e-01  1.63378832e+01  1.88000000e-01  6.82522764e-01 
 1.92000000e-01  1.61399197e+01  1.92000000e-01  6.91884155e-01 
 1.96000000e-01  1.59417402e+01  1.96000000e-01  7.01018522e-01 
 2.00000000e-01  1.57434751e+01  2.00000000e-01  7.09928484e-01 
